fr,en,gemma_result
"Les ONG ont notamment souligné que, dans la mesure où il n’y a aucun signe d’apaisement des tensions politiques depuis 1999, une telle initiative risquait de conduire à un débat hautement politisé et contre-productif au sein de l’Assemblée générale.","These NGOs in particular pointed out that since there are no signs to the effect that political tensions have eased since 1999, such an initiative could create a highly politicised and counter-productive debate in the General Assembly.",<pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
Nous sommes toujours dans la situation où la cervelle d'animaux de moins de 12 mois peut être utilisée.,We still have a situation in which the brain from animals under 12 months old can be used.,<pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
"Quant à la Somalie, je voudrais insister sur le fait que la démission de l'ancien président Yusuf et le retrait des forces éthiopiennes offrent une occasion unique.","About Somalia, I would like to emphasise that the resignation of former president Yusuf and the withdrawal of Ethiopian forces creates a huge window of opportunity.","Sure, here is the translation:

""As for Somalia, I would like to emphasize that the resignation of former President Yusuf and the withdrawal of Ethiopian forces offer a unique opportunity.""<eos>"
"(ET) Mesdames et Messieurs, la liberté d'expression est l'élément le plus important de la démocratie.","(ET) Ladies and gentlemen, freedom of speech is the most important feature of democracy.","Sure, here is the translation:

""Ladies and Gentlemen, freedom of expression is the most important element of democracy.""<eos>"
Le nouveau gouvernement a aussi promis des réformes sur la voie de l'adhésion à l'UE.,The new Government also promised reforms on the path toward EU membership.,"Sure, here is the translation:

The new government has also promised reforms on the path to EU adhesion.<eos>"
"Je souhaite remercier les rapporteurs, M. Salvador Garriga Polledo et Mme Anne Jensen, pour leur brillant travail.","I wish to thank the rapporteurs, Salvador Garriga Polledo and Anne Jensen, for their excellent work.","Sure, here is the translation:

I wish to express my gratitude to reporters, M. Salvador Garriga Polledo and Mme Anne Jensen, for their hard work.<eos>"
L'alimentation du bétail avec des aliments destinés aux non-ruminants dans les exploitations mixtes a constitué une autre source de transmission.,Another source of transmission was cross-feeding of feed intended for non-ruminants to cattle on mixed farms.,"Sure, here is the translation:

The feeding of livestock with feed intended for non-ruminants in mixed farms has constituted another source of transmission.<eos>"
"De même, les nombreuses conférences à Washington, Kaboul, Bonn et Oslo donnent parfois l'impression d'être un sédatif plutôt que l'expression d'une politique énergique d'encouragement à la restauration de la démocratie dans ce pays.","Even the many conferences in Washington, Kabul, Bonn and Oslo sometimes tend to give the impression of being sedatives, rather than expressions of an energetic policy aimed at stiffening the resolve to establish democracy in this country.","Sure, here is the translation:

""Similarly, the numerous conferences held in Washington, Kabul, Bonn and Oslo sometimes give the impression of being sedative rather than the expression of an energetic policy of encouragement for the restoration of democracy in that country.""<eos>"
Le procès-verbal de la séance d'hier a été distribué.,"The Minutes of Tuesday, 10 March 1998 have been distributed.","Sure, here is the translation:

The minutes of yesterday's session have been distributed.<eos>"
"En ce qui concerne les monnaies, ce que vous dites est évident.","With regard to currencies, what you say is clear.","Sure, here is the translation:

""In regard to currencies, what you have said is well-observed.""<eos>"
