fr,en,llama_result
"Les ONG ont notamment souligné que, dans la mesure où il n’y a aucun signe d’apaisement des tensions politiques depuis 1999, une telle initiative risquait de conduire à un débat hautement politisé et contre-productif au sein de l’Assemblée générale.","These NGOs in particular pointed out that since there are no signs to the effect that political tensions have eased since 1999, such an initiative could create a highly politicised and counter-productive debate in the General Assembly.","Non-governmental organizations (ONG) have highlighted that, given the lack of any signs of political tensions easing since 1999, such an initiative could lead to a highly politicized and counterproductive debate within the General Assembly.</s>"
Nous sommes toujours dans la situation où la cervelle d'animaux de moins de 12 mois peut être utilisée.,We still have a situation in which the brain from animals under 12 months old can be used.,We are still in a situation where the brain of animals under 12 months of age can be used.</s>
"Quant à la Somalie, je voudrais insister sur le fait que la démission de l'ancien président Yusuf et le retrait des forces éthiopiennes offrent une occasion unique.","About Somalia, I would like to emphasise that the resignation of former president Yusuf and the withdrawal of Ethiopian forces creates a huge window of opportunity.","As for Somalia, I would like to emphasize that the resignation of former President Yusuf and the withdrawal of Ethiopian forces present a unique opportunity.</s>"
"(ET) Mesdames et Messieurs, la liberté d'expression est l'élément le plus important de la démocratie.","(ET) Ladies and gentlemen, freedom of speech is the most important feature of democracy.","Ladies and gentlemen, freedom of expression is the most essential element of democracy.</s>"
Le nouveau gouvernement a aussi promis des réformes sur la voie de l'adhésion à l'UE.,The new Government also promised reforms on the path toward EU membership.,The new government has also promised reforms regarding the path to EU membership.</s>
"Je souhaite remercier les rapporteurs, M. Salvador Garriga Polledo et Mme Anne Jensen, pour leur brillant travail.","I wish to thank the rapporteurs, Salvador Garriga Polledo and Anne Jensen, for their excellent work.","Thank you for the translation! Here is the English translation of the sentence:

""I would like to thank the reporters, Mr. Salvador Garriga Polledo and Ms. Anne Jensen, for their excellent work.""</s>"
L'alimentation du bétail avec des aliments destinés aux non-ruminants dans les exploitations mixtes a constitué une autre source de transmission.,Another source of transmission was cross-feeding of feed intended for non-ruminants to cattle on mixed farms.,The feeding of cattle with food intended for non-ruminant animals in mixed farms has been another source of transmission.</s>
"De même, les nombreuses conférences à Washington, Kaboul, Bonn et Oslo donnent parfois l'impression d'être un sédatif plutôt que l'expression d'une politique énergique d'encouragement à la restauration de la démocratie dans ce pays.","Even the many conferences in Washington, Kabul, Bonn and Oslo sometimes tend to give the impression of being sedatives, rather than expressions of an energetic policy aimed at stiffening the resolve to establish democracy in this country.","Similarly, the numerous conferences in Washington, Kabul, Bonn, and Oslo sometimes give the impression of being a sedative rather than the expression of an energetic policy to encourage the restoration of democracy in this country.</s>"
Le procès-verbal de la séance d'hier a été distribué.,"The Minutes of Tuesday, 10 March 1998 have been distributed.",The minutes of yesterday's meeting have been distributed.</s>
"En ce qui concerne les monnaies, ce que vous dites est évident.","With regard to currencies, what you say is clear.","Concerning money, what you say is obvious.</s>"
Je soutiens l' ordre du jour établi par les dirigeants de l' UE au Sommet de Lisbonne de l' année dernière.,I support the agenda set by the EU leaders at their summit in Lisbon last year.,I support the established order of the day established by the leaders of the EU at the Lisbon Summit last year.</s>
"Enfin, Monsieur le Président, je voudrais plaider en faveur de quelques amendements déposés par les libéraux et les chrétiens-démocrates, notamment les amendements 1, 3, 6, 8 et 9.","Finally I would like to argue in favour of accepting some of the Amendments put forward by the Liberals and the Christian Democrats, particularly Nos 1, 3, 6, 8 and 9.","Finally, Mr. President, I would like to argue in favor of some amendments submitted by the liberals and Christian democrats, specifically amendments 1, 3, 6, 8, and 9.</s>"
Les habitants de Gaza vivent dans l'indigence; la différence entre les deux territoires palestiniens commence à devenir évidente.,People in Gaza are living on the breadline; the difference between the two Palestinian territories is beginning to become obvious.,The inhabitants of Gaza live in poverty; the difference between the two Palestinian territories is becoming evident.</s>
C'est bien sûr ce qui a été dit clairement dans notre rapport et dans les contributions des collègues députés.,This is naturally what has been made clear in our report and in the contributions of fellow members.,"Of course, that was clearly stated in our report and in the contributions of our colleague deputies.</s>"
"Il a sûrement raison de souligner l'énorme risque couru par les travailleurs et leur famille face à la mondialisation rapide, mais donner une place centrale à ce problème ne doit pas signifier protéger à tous prix les emplois existants.","To be sure, Sarkozy is right to note the enormous risks that workers and their communities face in this rapidly globalizing world. But putting this problem center stage should not mean protecting existing jobs come what may.","He certainly has a point in highlighting the enormous risk faced by workers and their families due to rapid globalization, but giving central stage to this issue does not mean protecting existing jobs at all costs.</s>"
"J'ai tenté d'éviter cela, mais peut-être devrions-nous tout de même en rester à la réalité des faits, et aussi de notre système juridique dans l'Union européenne.","I did try to avoid this, but perhaps we should base our arguments on the facts and on the system of law in the European Union.","Sure, here is the translation of the sentence in French to English:

""I tried to avoid it, but perhaps we should still focus on the reality of the situation and our legal system within the European Union.""</s>"
par écrit. - (EN) Je soutiendrai ce rapport avec une certaine réticence.,in writing. I will be supporting this report with a degree of reluctance.,"Sure! Here's the translation of ""par écrit"" in English:

""By writing""

So the full translation of the sentence ""par écrit. - (EN) Je soutiendrai ce rapport avec une certaine réticence"" is:

""By writing. - (EN) I will support this report with a certain reservation.""</s>"
"La Commission de l'environnement, de la santé publique et de la protection des consommateurs a manifesté sa confiance à l'égard des normes initiales de la Commission européenne.","The Committee on the Environment, Public Health and Consumer Protection has expressed its confidence in the original standards set by the European Commission.","The Environmental Commission, Public Health Commission, and Consumer Protection Commission has expressed its confidence in regards to the initial standards set by the European Commission.</s>"
"Pour ce qui est des règles applicables, le Conseil doit attendre une proposition de la Commission avant de prendre toute décision en la matière.","In terms of the applicable rules, the Council must wait for a Commission proposal before making a decision on this issue.","For rules applicable, the Council must wait for a proposal from the Commission before taking any decision on the matter.</s>"
"Mais je continue à regretter qu'il n'y ait pas une voix plus forte qui s'élève contre cette barbarie et que les États-Unis puissent poursuivre une politique de faits accomplis sans que l'Union adopte une décision qui aille à l'encontre de ces faits accomplis, et que l'on continue à punir, non pas Saddam Hussein, qui est un tyran - je le répète -, mais le peuple iraqien, qui a déjà suffisamment souffert.","However, I still regret that a stronger voice has not been raised to condemn this attack, and that the United States should be able to pursue their policy of fait accompli without any opposition from the European Union. I must stress yet again that it is not Saddam Hussein who is being punished, despite being a tyrant, but the Iraqi people, who have already suffered enough.","But I continue to regret that there is not a stronger voice speaking out against this barbarity and that the United States can continue to pursue a policy of fait accompli without the Union taking a decision that goes against these fait accompli, and that the people of Iraq continue to suffer, not Saddam Hussein, who is a tyrant - I repeat -, but the Iraqi people, who have already suffered enough.</s>"
"C'est de cela qu'il s'agit, et c'est pour cette raison que nous privilégions une politique étrangère et de sécurité commune plutôt qu'une politique étrangère nationaliste.","That is what this is about, and that is why we favour a common foreign and security policy over nationalist foreign policy.","It is about this that it pertains, and it is for this reason that we prioritize a common foreign and security policy rather than a nationalist foreign policy.</s>"
"En 1997, la conférence ministérielle de La Haye a mené à la déclaration ministérielle de La Haye concernant les directives européennes sur les mesures efficaces destinées à prévenir et contrer le trafic des femmes à des fins d'exploitation sexuelle.","In 1997, the Ministerial Conference in The Hague resulted in The Hague Ministerial declaration on a European Code of Conduct to prevent and combat trafficking in women for the purpose of sexual exploitation.","In 1997, the ministerial conference in The Hague led to the ministerial declaration on European directives aimed at preventing and countering the trafficking of women for sexual exploitation.</s>"
"Dans l’intervalle, nous devons continuer à élaborer les programmes législatifs.","In the meantime, we must continue to work on the legislative programmes.","During the interval, we must continue to develop legislative programs.</s>"
Notre commission a soigneusement étudié la façon dont la Fondation peut utilement intervenir pour répondre aux besoins des nouvelles démocraties d'Europe en matière de formation professionnelle et nos propositions sont axées sur une planification minutieuse et la nécessité d'un contrôle.,Our committee has seriously considered how the Foundation can play a significant and valuable role in meeting the vocational training needs of the new democracies in Europe and our proposals are aimed at careful planning and the need for monitoring.,"Our commission has carefully studied how the Foundation can usefully intervene to meet the needs of new democracies in Europe in terms of professional training, and our proposals are focused on meticulous planning and the need for control.</s>"
"(PT) Monsieur le Président, nous sommes arrivés à la fin de l'Année européenne de lutte contre la pauvreté et l'exclusion sociale.","(PT) Mr President, we have reached the end of the European Year for Combating Poverty and Social Exclusion.","(EN) Mr. President, we have reached the end of the European Year of Fighting Poverty and Social Exclusion.</s>"
"Je crois comprendre que des contrôles sont réalisés à intervalles réguliers, mais, dans ce cas, ils étaient clairement défaillants dans ce secteur.","I understand that there are regular checks carried out, but in this case there were clearly some gaps in the checks on that market.","I believe I understand that regular checks are conducted, but in this case, they were clearly inadequate in this sector.</s>"
"Il ne devrait donc y avoir aucune difficulté, mais une évolution récente, qui n’a guère plus de vingt ans, a compliqué les choses.","So, there should be no problem, except for the fact that a recent development, scarcely more than 20 years old, has complicated matters.","There should be no difficulty, but a recent evolution, which is less than twenty years old, has complicated things.</s>"
